symbol,timeframe,slice_combination,window,diagnostic_status,window_start_utc,window_end_utc,window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_n,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_n,best_parent_mean_ret_costadj,excess_vs_best_parent,best_parent_p_value_nw
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,11,0.1425051172954304,1.0,7.892398498654158,2.886579864025407e-15,False,365,0.00529875806344602,0.13720635923198438,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral,12,0.13624602031958138,0.0062590969758490045,0.0
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,5,-0.013488915998436667,0.6,-0.9048158760806031,0.3655629394743436,False,187,0.011062823483405211,-0.02455173948184188,cross_BTC/USD_state_slope=uptrend,53,0.02379023921249916,-0.037279155210935826,0.08302640068223344
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,10,0.06933392292604917,0.8,1.7988544273327134,0.07204171109788216,False,366,0.0059646970661879906,0.06336922585986118,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,29,0.04005347136180746,0.029280451564241715,0.031231921263027207
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,5,-0.013488915998436667,0.6,-0.9048158760806031,0.3655629394743436,False,182,0.009956174336851243,-0.02344509033528791,cross_BTC/USD_state_slope=uptrend,53,0.02379023921249916,-0.037279155210935826,0.08302640068223344
DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,all,ok,2023-08-18 00:00:00+00:00,2026-07-06 00:00:00+00:00,1054,100,0.04258042553122407,0.73,2.9681012589801314,0.002996455997055447,True,1054,0.00328783902807621,0.03929258650314786,cross_ETH/USD_state_vol=mid_vol,431,0.02510677022321831,0.01747365530800576,0.0005398668818454855
DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,30,0.019030319904058693,0.5333333333333333,0.6720357665446348,0.5015609269188142,False,366,-0.004460828339857393,0.023491148243916085,cross_ETH/USD_state_vol=mid_vol,142,0.01780431456963322,0.0012260053344254722,0.1913804847721292
DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,45,0.060991528913959946,0.8,2.948314289000672,0.003195120480421254,True,365,0.012580249761879448,0.048411279152080496,state_ext=stretched_up,101,0.03528277329009223,0.025708755623867714,0.008441295453992526
DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,10,0.058362596267804843,1.0,5.847960993629519,4.976351997143524e-09,False,187,0.02077561420030641,0.03758698206749843,cross_ETH/USD_state_vol=mid_vol,70,0.03917865927018622,0.019183936997618625,0.0017699226849667848
DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,37,0.043400259162163925,0.7567567567567568,1.9196806744992663,0.05489824677551969,False,366,0.0152415253949752,0.028158733767188724,state_ext=stretched_up,100,0.030316903058621704,0.01308335610354222,0.01575001204703219
DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,10,0.058362596267804843,1.0,5.847960993629519,4.976351997143524e-09,False,182,0.021470593796527854,0.03689200247127699,cross_ETH/USD_state_vol=mid_vol,70,0.03917865927018622,0.019183936997618625,0.0017699226849667848
