symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,rank,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,best_fwd_horizon,search_wide_family_size_regime,search_wide_rank_regime,search_wide_bh_pass_regime,search_wide_bonferroni_pass_regime,research_shard_id,candidate_key,strict_gate_pass,status,live_decay_flag,not_regime_evaluated,all_regime_mean_ret_costadj,regime_excess_vs_all,regime_candidate_status
CRV/USD,1d,cross_TLT_state_slope=uptrend + state_slope=uptrend,bear,BTC/USD,ok,223,24,0.044788788187805455,0.75,2.0762086665484634,0.037874656079225355,True,-0.0061788542615246475,0.0509676424493301,state_slope=uptrend,0.0274479832225001,0.017340804965305354,6,rolling,4,short,rejected,late_emerging_recent_only,50,False,16,True,0.0631491329413575,0.0514345440437352,state_slope=uptrend,0.0442644186897278,1.1821188561356166e-06,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,27,False,False,crypto-1d-01,,False,,,False,0.023560665948867205,0.02122812223893825,regime_switching_research_only
ETH/USD,1d,cross_USO_state_vol=high_vol + state_ext=stretched_up,bear,BTC/USD,ok,481,37,0.043159532268260754,0.6486486486486487,2.0059974527431597,0.04485651976998972,True,-0.00011899836190276011,0.043278530630163514,cross_USO_state_vol=high_vol,0.021416946485714083,0.02174258578254667,18,rolling,4,long,rejected,late_emerging_valid_supported,60,False,92,True,0.0414795514160957,0.0463710036586721,cross_USO_state_vol=high_vol,0.0249176692523784,0.0151937439784255,1,10,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,30,False,False,crypto-1d-01,,False,,,False,0.034485079478974945,0.00867445278928581,regime_switching_research_only
SUSHI/USD,1d,cross_TLT_state_ext=neutral + state_ext=stretched_up,bear,BTC/USD,ok,481,30,0.041550851184987796,0.7333333333333333,2.42825647590158,0.015171610093919208,True,0.0029078217429439196,0.038643029442043876,state_ext=stretched_up,0.01584677048356844,0.025704080701419357,16,rolling,4,short,rejected,late_emerging_recent_only,217,False,106,True,0.0372303061089816,0.0274682925462846,state_ext=stretched_up,0.0107724900138682,0.0132985048094451,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,20,False,False,crypto-1d-02,,False,,,False,0.01577895279791471,0.025771898387073087,regime_switching_research_only
UNI/USD,1d,cross_TLT_state_slope=downtrend + state_ext=stretched_up,bear,BTC/USD,ok,481,39,0.038593138066967105,0.6923076923076923,2.139024928855718,0.0324336494833215,True,-0.005108010175154697,0.043701148242121804,state_ext=stretched_up,-0.005747391110747529,0.04434052917771463,4,rolling,4,short,rejected,late_emerging_regime_switching,79,False,36,True,0.0459101280356244,0.0438475556368371,cross_TLT_state_slope=downtrend,0.0205230865387405,0.0105054892922971,2,11,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,24,False,False,crypto-1d-02,,False,,,False,0.030481500409804456,0.008111637657162649,regime_switching_research_only
XRP/USD,1d,cross_USO_state_slope=downtrend + state_ext=neutral,bear,BTC/USD,ok,207,21,0.024553759723919915,0.7142857142857143,2.760345581699609,0.005774024722102311,True,0.004051566326740499,0.020502193397179416,state_ext=neutral,0.0009168446587372412,0.023636915065182673,37,rolling,4,short,rejected,late_emerging_valid_supported,43,False,16,True,0.02424124660635,0.0165013759241454,state_ext=neutral,0.021359905667208,0.0209476008431122,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,12,False,False,crypto-1d-02,,False,,,False,0.022446346015895773,0.0021074137080241417,regime_switching_research_only
ADA/USD,1h,cross_TLT_state_slope=uptrend + state_ext=stretched_down,bear,BTC/USD,ok,1014,69,0.007708109397561314,0.6666666666666666,2.428935454137633,0.015143227994767194,True,-0.001124858104966218,0.008832967502527532,cross_TLT_state_slope=uptrend,0.0017372432034874412,0.005970866194073873,1,rolling,4,long,rejected,late_emerging_recent_only,114,False,70,True,0.0081323595778761,0.0108122405217116,state_ext=stretched_down,0.008032480573615,0.0344542952974773,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,19,False,False,crypto-1h-00,,False,,,False,0.003633446448853875,0.004074662948707439,regime_switching_research_only
SOL/USD,1d,cross_USO_state_slope=uptrend + state_slope=uptrend,bear,BTC/USD,ok,452,2,0.2190638319776187,0.5,1.8244299202071197,0.06808710207292434,False,0.00548090682985157,0.2135829251477671,cross_USO_state_slope=uptrend,0.023044835480267836,0.19601899649735086,1,rolling,4,short,survived,clean_survivor_wf_mixed,37,True,26,True,0.0401973711495016,0.0374081643898825,cross_USO_state_slope=uptrend,0.0228479436790401,0.0006307001071319,2,11,0.5,7,8,8,8,19.0,survived,survived,survived,rejected,survived,survived,survived,survived,5,136,35,False,False,crypto-1d-02,,False,,,False,0.05099572495028119,0.1680681070273375,unsupported
AVAX/USD,1d,state_ext=stretched_down + state_slope=uptrend,bear,BTC/USD,ok,481,13,0.07200559604904812,0.6923076923076923,1.5790035944206553,0.11433523259501666,False,-0.005308754160857506,0.07731435020990562,state_slope=uptrend,0.018873532370349146,0.05313206367869897,25,rolling,4,long,rejected,late_emerging_valid_supported,46,False,16,True,0.0513416652384633,0.0625394576425063,state_slope=uptrend,0.0615444765004744,0.0190936843675584,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,45,False,False,crypto-1d-00,AVAX/USD|1d|state_ext=stretched_down + state_slope=uptrend|rolling,False,research_only,False,False,0.020164796609210837,0.051840799439837285,unsupported
SUSHI/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat + state_ext=stretched_down,bear,BTC/USD,ok,481,37,0.06378848738377627,0.6756756756756757,1.9552752674665261,0.050550588783228934,False,0.0029078217429439196,0.060880665640832346,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat,0.05536757629930147,0.008420911084474798,26,rolling,4,short,rejected,late_emerging_valid_supported,57,False,64,True,0.0371064887770957,0.0273444752143987,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat,0.01137674620254,0.0397166839475557,1,10,0.25,0,8,7,7,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,33,False,False,crypto-1d-02,,False,,,False,0.03523815245235833,0.028550334931417932,regime_switching_research_only
DOT/USD,1d,cross_TLT_state_slope=downtrend + state_slope=flat,bear,BTC/USD,ok,223,14,0.06278010539095978,0.7142857142857143,2.6899862650673363,0.007145495991556672,False,0.011264956948685099,0.051515148442274686,state_slope=flat,0.030580432754195305,0.03219967263676447,11,rolling,4,short,rejected,late_emerging_recent_only,37,False,31,True,0.0587166634546885,0.0428809566417348,cross_TLT_state_slope=downtrend,0.0181554528455485,3.810505628654148e-05,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,14,False,False,crypto-1d-01,,False,,,False,0.03426837126713107,0.028511734123828708,unsupported
