symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,rank,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size_regime,search_wide_rank_regime,search_wide_bh_pass_regime,search_wide_bonferroni_pass_regime,research_shard_id,candidate_key,strict_gate_pass,status,live_decay_flag,not_regime_evaluated,all_regime_mean_ret_costadj,regime_excess_vs_all,regime_candidate_status
LTC/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,neutral,BTC/USD,ok,633,63,0.020404674850839653,0.6507936507936508,2.0549605025066544,0.03988281983911257,True,0.0001877699858553224,0.02021690486498433,state_slope=flat,0.0074402434559837135,0.01296443139485594,22,rolling,4,short,rejected,late_emerging_recent_only,96,False,59,True,0.0201891183407882,0.0191740542421123,state_slope=flat,0.0166768546287201,0.0157475773158348,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,25,False,False,crypto-1d-02,LTC/USD|1d|cross_ETH/USD_state_slope=uptrend + state_slope=flat|rolling,False,research_only,False,False,0.0063454762136879676,0.014059198637151686,regime_switching_research_only
LTC/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=stretched_up,neutral,BTC/USD,ok,633,52,0.015527159189056674,0.5769230769230769,2.0705799325293457,0.03839806910368471,True,0.0001877699858553224,0.015339389203201352,state_ext=stretched_up,0.008517940610474395,0.007009218578582279,23,rolling,4,short,rejected,late_emerging_recent_only,106,False,36,True,0.0285742205381406,0.0275591564394647,state_ext=stretched_up,0.016148888392565,0.0019440591760098,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,24,False,False,crypto-1d-02,LTC/USD|1d|cross_BTC/USD_state_vol=mid_vol + state_ext=stretched_up|rolling,False,research_only,False,False,0.008583077551393524,0.006944081637663149,regime_switching_research_only
LTC/USD,1h,state_ext=stretched_up + state_slope=flat,neutral,BTC/USD,ok,3675,52,0.00709199658540871,0.7115384615384616,1.971781944317558,0.04863450438470851,True,-0.0002971964642793903,0.0073891930496881005,state_slope=flat,0.0006337942910945689,0.006458202294314141,1,rolling,4,short,rejected,late_emerging_recent_only,98,False,23,True,0.0043718683279058,0.0080985751984517,state_ext=stretched_up,0.0035218798721503,0.0041446578407171,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,27,False,False,crypto-1h-02,,False,,,False,0.005825776844895829,0.001266219740512881,regime_switching_research_only
DOT/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_down,neutral,BTC/USD,ok,3675,27,0.006680804096942035,0.7777777777777778,2.0275300939786844,0.042608230000335645,True,0.00028287223539228307,0.0063979318615497525,state_ret_day=ret_day_up,0.0009932667829121672,0.005687537314029868,3,rolling,4,short,rejected,late_emerging_recent_only,27,False,18,True,0.007070945126099,0.0104331267642475,state_ret_day=ret_day_up,0.0083541095365404,0.002839945420183,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,26,False,False,crypto-1h-01,,False,,,False,0.004618936125384502,0.0020618679715575334,regime_switching_research_only
CRV/USD,1h,state_weekpart=weekend + state_ext=stretched_up,neutral,BTC/USD,ok,3675,213,0.004482076411994121,0.6056338028169014,2.3772238849736853,0.017443497064862923,True,-2.0111361848321944e-05,0.004502187773842443,state_ext=stretched_up,0.0022227072593314808,0.00225936915266264,22,rolling,4,short,rejected,late_emerging_valid_supported,316,False,79,True,0.0045498383040076,0.0087985467017474,state_ext=stretched_up,0.0059951349375049,0.0487141945904769,0,0,0.0,0,8,8,5,7.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,15,False,False,crypto-1h-01,,False,,,False,0.0025691670779531793,0.0019129093340409416,regime_switching_research_only
DOT/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,neutral,BTC/USD,ok,444,8,0.06025708717879255,0.75,2.2750488968452256,0.022902996751228866,False,0.0006159816145847151,0.05964110556420783,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend,0.05355415114500968,0.006702936033782872,13,rolling,4,short,rejected,late_emerging_valid_supported,17,False,15,True,0.0660426480704842,0.0505280299332643,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend,0.0085642846473348,1.993930743182659e-06,0,0,0.0,0,8,8,8,8.0,rejected,rejected,rejected,provisional,rejected,rejected,rejected,rejected,124,22,False,False,crypto-1d-01,DOT/USD|1d|cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down|rolling,False,research_only,False,False,0.05173105119406363,0.008526035984728918,unsupported
UNI/USD,1d,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,neutral,BTC/USD,ok,633,9,0.045843046015652,0.6666666666666666,1.7547996687725766,0.07929358028509892,False,0.0073053513250917945,0.038537694690560204,cross_BTC/USD_state_ext=stretched_down + state_ext=stretched_up,0.05124732490568947,-0.005404278890037473,25,rolling,4,short,rejected,late_emerging_recent_only,24,False,20,True,0.0517930888454664,0.0494554878135301,cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,0.0126166433521066,0.0156322493153719,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,36,False,False,crypto-1d-02,UNI/USD|1d|cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up|rolling,False,research_only,False,False,0.03198288728372089,0.01386015873193111,unsupported
AVAX/USD,1d,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_ext=stretched_down + state_ext=neutral,neutral,BTC/USD,ok,633,9,0.04234049115584326,0.5555555555555556,1.0795223998556902,0.28035491371585186,False,-0.0034186181860285285,0.045759109341871794,cross_BTC/USD_state_slope=downtrend + state_ext=neutral,0.029925402566129182,0.01241508858971408,7,rolling,4,long,rejected,late_emerging_recent_only,11,False,18,True,0.0481254685240387,0.0600358060492736,cross_BTC/USD_state_slope=downtrend + state_ext=neutral,0.0129901418996004,0.0193307073220068,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,68,False,False,crypto-1d-00,AVAX/USD|1d|cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_ext=stretched_down + state_ext=neutral|rolling,False,research_only,False,False,0.02468493125810129,0.017655559897741972,unsupported
LTC/USD,1d,state_ext=stretched_up + state_vol=high_vol,neutral,BTC/USD,ok,633,28,0.03898042639590032,0.5714285714285714,1.7275135576392926,0.08407547243893387,False,0.0001877699858553224,0.03879265641004499,state_ext=stretched_up,0.008517940610474395,0.030462485785425923,38,rolling,4,short,rejected,late_emerging_valid_supported,104,False,43,True,0.0365245938683518,0.0355095297696759,state_ext=stretched_up,0.0240992617227762,0.0156298351192378,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,37,False,False,crypto-1d-02,LTC/USD|1d|state_ext=stretched_up + state_vol=high_vol|rolling,False,research_only,False,False,0.013444430662420103,0.025535995733480213,regime_switching_research_only
SOL/USD,1d,cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_up,neutral,BTC/USD,ok,470,23,0.03731021029508923,0.6956521739130435,1.5136651962296073,0.13011077639519586,False,-0.0026267689594160907,0.03993697925450532,cross_ETH/USD_state_ext=stretched_down,0.0035976894113782963,0.033712520883710934,45,rolling,4,long,rejected,late_emerging_valid_supported,58,False,18,True,0.0520615044389001,0.0614844467827246,cross_ETH/USD_state_ext=stretched_down,0.0588498170329629,0.0175146232400178,0,0,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,44,False,False,crypto-1d-02,SOL/USD|1d|cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_up|rolling,False,research_only,False,False,0.004261643500531247,0.033048566794557976,regime_switching_research_only
BCH/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,neutral,BTC/USD,ok,633,11,0.03588878676501637,0.6363636363636364,1.1289352926291853,0.25892513130505224,False,-0.001977641643196937,0.037866428408213304,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.030274454124678194,0.0056143326403381745,15,rolling,4,short,rejected,late_emerging_valid_supported,21,False,15,True,0.0893547285480405,0.0904551013694434,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.035623366881797,3.987706985286721e-06,0,0,0.0,0,8,8,8,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,63,False,False,crypto-1d-00,BCH/USD|1d|cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down|rolling,False,research_only,False,False,0.029857868812053254,0.006030917952963115,unsupported
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,neutral,BTC/USD,ok,387,21,0.03570218359552989,0.8095238095238095,1.8071044568589514,0.07074599388358349,False,-0.00556216759725024,0.04126435119278013,state_ext=neutral,0.016713724205118026,0.018988459390411862,12,rolling,4,short,rejected,late_emerging_valid_supported,30,False,22,True,0.0521837680298311,0.0430537187342768,state_vol=mid_vol,0.0267485251215813,5.946354519892338e-13,1,10,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,124,32,False,False,crypto-1d-02,XRP/USD|1d|state_ext=neutral + state_vol=mid_vol|rolling,False,research_only,False,False,0.03447388478048821,0.0012282988150416757,regime_switching_research_only
