symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,bin_mode
ADI,1d,state_ext=stretched_down + state_vol=mid_vol,regime_warmup,ADI,ok,199,0,,,,,False,0.004829738526842,,state_ext=stretched_down,0.0234807104819025,,rolling
ADI,1d,cross_USO_state_ext=neutral + state_ext=stretched_down,all,USO,ok,5022,314,0.011395344849858,0.6114649681528662,4.1327921588094245,3.583827797148942e-05,True,0.0035354107525302,0.0078599340973278,state_ext=stretched_down,0.0088713077091779,0.00252403714068,rolling
ADI,1d,cross_USO_state_ext=neutral + state_ext=stretched_down,bull,USO,ok,1451,121,0.0090925501597524,0.5785123966942148,2.0516417334427435,0.0402044931963065,True,6.687339405010279e-05,0.0090256767657023,state_ext=stretched_down,0.0059839959413407,0.0031085542184117,rolling
ADI,1d,cross_USO_state_ext=neutral + state_ext=stretched_down,bear,USO,ok,1237,78,0.0223408948307748,0.7307692307692307,4.614322922268006,3.943788476012955e-06,True,0.006500562639263,0.0158403321915118,state_ext=stretched_down,0.0118828697221866,0.0104580251085881,rolling
ADI,1d,cross_USO_state_ext=neutral + state_ext=stretched_down,neutral,USO,ok,2135,113,0.0061744624004166,0.5575221238938053,1.3857716534518107,0.1658166406495755,False,0.0040540915938314,0.0021203708065852,state_ext=stretched_down,0.0082607086949074,-0.0020862462944908,rolling
ADI,1d,cross_USO_state_ext=neutral + state_ext=stretched_down,regime_warmup,USO,ok,199,2,0.0188178327389386,1.0,43.86684517645878,0.0,False,0.004829738526842,0.0139880942120965,state_ext=stretched_down,0.0234807104819025,-0.0046628777429638,rolling
ADI,1d,cross_USO_state_vol=mid_vol + state_ext=stretched_down,all,USO,ok,5022,399,0.0146183150007766,0.6892230576441103,4.893335720375314,9.914107355069035e-07,True,0.0035354107525302,0.0110829042482464,state_ext=stretched_down,0.0088713077091779,0.0057470072915986,rolling
ADI,1d,cross_USO_state_vol=mid_vol + state_ext=stretched_down,bull,USO,ok,1451,118,0.005530336779097,0.6186440677966102,0.9683732989245336,0.3328579695967795,False,6.687339405010279e-05,0.0054634633850469,state_ext=stretched_down,0.0059839959413407,-0.0004536591622436,rolling
ADI,1d,cross_USO_state_vol=mid_vol + state_ext=stretched_down,bear,USO,ok,1237,113,0.0159691363247483,0.7168141592920354,3.678474080547124,0.0002346335301317,True,0.006500562639263,0.0094685736854852,state_ext=stretched_down,0.0118828697221866,0.0040862666025616,rolling
ADI,1d,cross_USO_state_vol=mid_vol + state_ext=stretched_down,neutral,USO,ok,2135,168,0.020092949646904,0.7202380952380952,4.580962500689081,4.62840837123224e-06,True,0.0040540915938314,0.0160388580530726,cross_USO_state_vol=mid_vol,0.0087194120248172,0.0113735376220868,rolling
ADI,1d,cross_USO_state_vol=mid_vol + state_ext=stretched_down,regime_warmup,USO,ok,199,0,,,,,False,0.004829738526842,,state_ext=stretched_down,0.0234807104819025,,rolling
ADI,1d,state_ext=stretched_down + state_slope=downtrend + state_vol=mid_vol,all,ADI,ok,5022,327,0.0135686952747013,0.6422018348623854,3.5694489358552057,0.0003577329365263,True,0.0035354107525302,0.0100332845221711,state_ext=stretched_down + state_vol=mid_vol,0.0130929664225501,0.0004757288521512,rolling
ADI,1d,state_ext=stretched_down + state_slope=downtrend + state_vol=mid_vol,bull,ADI,ok,2302,23,0.0214862460036644,0.7391304347826086,2.247251669299071,0.02462394773673,True,-9.291931710709487e-06,0.0214955379353751,state_ext=stretched_down + state_vol=mid_vol,0.0157241007817996,0.0057621452218647,rolling
ADI,1d,state_ext=stretched_down + state_slope=downtrend + state_vol=mid_vol,bear,ADI,ok,588,59,0.0143272827308158,0.6101694915254238,1.283185237880872,0.1994271865555192,False,0.0090046931134287,0.005322589617387,state_slope=downtrend + state_vol=mid_vol,0.0169109568869808,-0.002583674156165,rolling
ADI,1d,state_ext=stretched_down + state_slope=downtrend + state_vol=mid_vol,neutral,ADI,ok,1933,245,0.0126427347576528,0.6408163265306123,3.340362944186149,0.0008366896681177,True,0.005959826853837,0.0066829079038157,state_ext=stretched_down + state_vol=mid_vol,0.0118138366711062,0.0008288980865465,rolling
