rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
37,FUT/GC,1h,state_session=morning + state_ext=neutral,rolling,4,long,rejected,rejected_unsupported,1925,False,832,False,-9.00625531987537e-05,0.0003492844954989007,state_session=morning,6.015312833055077e-05,0.8610537754827117,0,0000,0.0,0,7,7,0,4.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,117,False,False
38,FUT/NQ,1h,state_session=morning + state_ext=neutral,rolling,4,long,rejected,rejected_unsupported,2059,False,859,False,0.00047705696747658393,1.685065474650414e-05,state_session=morning,1.4106590244341145e-05,0.26979616977674414,0,0000,0.0,0,7,7,0,4.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,58,False,False
39,FUT/CL,1h,state_session=afternoon + state_slope=downtrend,rolling,4,long,rejected,rejected_unsupported,492,False,267,False,0.0005257314265747864,0.001018632923692562,state_slope=downtrend,0.000953806712560182,0.7752041581842211,0,0000,0.0,0,7,6,0,4.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,106,False,False
40,FUT/CL,1h,state_session=lunch + state_slope=downtrend,rolling,4,long,rejected,rejected_unsupported,110,False,75,False,0.00380062145437825,0.004293522951496025,state_session=lunch,0.0004620210841164911,0.25148696178183605,0,0000,0.0,0,8,6,0,4.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,56,False,False
41,FUT/CL,1h,state_session=afternoon + state_slope=flat,rolling,4,short,rejected,rejected_unsupported,361,False,111,False,0.0011135505349018655,0.00102064903778409,state_slope=flat,0.0003657279742673976,0.6867278796787701,0,0000,0.0,0,7,6,0,4.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,97,False,False
42,FUT/CL,1h,state_session=morning + state_ext=stretched_up,rolling,4,long,rejected,rejected_unsupported,159,False,159,False,0.0008958254772952945,0.0013887269744130698,state_ext=stretched_up,0.00014814161504260123,0.7016656217609225,0,0000,0.0,0,6,6,0,4.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,99,False,False
43,FUT/NQ,1h,state_ext=stretched_up + state_slope=uptrend,rolling,4,long,rejected,parent_underperformed,28,False,49,True,0.002784926141229236,0.002324719828499156,state_ext=stretched_up,0.0,0.009973024030112354,1,0001,0.25,0,8,1,7,3.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,9,False,False
44,FUT/CL,1h,state_session=afternoon + state_ext=neutral,rolling,4,long,rejected,rejected_unsupported,1281,False,407,False,-0.000683133790898732,-0.00019023229378095662,state_session=afternoon,9.450582618290512e-05,0.5516255255636762,0,0000,0.0,0,0,6,0,3.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,84,False,False
45,FUT/NQ,1h,state_ext=stretched_up + state_vol=high_vol,rolling,4,long,rejected,parent_underperformed,29,False,49,True,0.002784926141229236,0.002324719828499156,state_ext=stretched_up,0.0,0.009973024030112354,1,0001,0.25,0,8,0,7,3.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,10,False,False
46,FUT/GC,1h,state_session=lunch + state_ext=stretched_up,rolling,4,long,rejected,sample_starved_unsupported,9,False,7,False,0.001404043113302502,0.0018433901620001562,state_session=lunch,0.002516864009108523,0.33215677244129327,0,0000,0.0,0,8,8,0,3.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,61,False,False
47,FUT/CL,1h,state_ext=stretched_up + state_slope=downtrend,rolling,4,short,rejected,sample_starved_unsupported,7,False,11,False,0.0018040095741588458,0.0017111080770410704,state_slope=downtrend,0.0017759342881734504,0.6723227379152952,0,0000,0.0,0,8,8,0,3.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,96,False,False
48,FUT/CL,1h,state_ext=stretched_down + state_slope=flat,rolling,4,short,rejected,sample_starved_unsupported,15,False,14,False,0.00770302917824845,0.007610127681130675,state_slope=flat,0.006955206617613982,0.44366881088791055,0,0000,0.0,0,7,7,0,2.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,73,False,False
49,FUT/NQ,1h,state_session=lunch + state_ext=stretched_down,rolling,4,long,rejected,sample_starved_unsupported,11,False,8,False,0.001303017885177941,0.0008428115724478612,state_session=lunch,0.0004532404322355318,0.7366322920167563,0,0000,0.0,0,8,7,0,2.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,102,False,False
50,FUT/GC,1h,state_ext=neutral + state_vol=mid_vol,rolling,4,long,rejected,rejected_unsupported,1167,False,829,False,-0.0008933887392502959,-0.0004540416905526415,state_ext=neutral,-0.0004145566280059831,0.025318909329159034,1,1000,0.25,0,0,0,7,2.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,16,False,False
51,FUT/ZN,1h,state_session=morning + state_ext=neutral,rolling,4,long,rejected,rejected_unsupported,2100,False,875,False,-0.0002450329066496633,-1.4072086717167664e-05,state_ext=neutral,-1.4072086717167664e-05,0.010516487094784477,0,0000,0.0,0,1,0,8,2.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,11,False,False
52,FUT/NQ,1h,state_ext=neutral + state_vol=high_vol,rolling,4,long,rejected,parent_underperformed,1823,False,716,True,0.0010141599795836028,0.000553953666853523,state_vol=high_vol,-8.659061365480893e-05,0.04495708779156171,0,0000,0.0,0,8,0,4,2.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,19,False,False
53,FUT/ZN,1h,state_ext=neutral + state_vol=high_vol,rolling,4,short,rejected,rejected_unsupported,1222,False,790,False,-0.00029323387937473287,-0.00012419469930722844,state_ext=neutral,-0.00012419469930722844,0.0013325324155049056,0,0000,0.0,0,0,0,8,2.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,3,False,False
54,FUT/ZN,1h,state_ext=neutral + state_vol=low_vol,rolling,4,long,rejected,rejected_unsupported,1379,False,327,False,-0.0003875844213497576,-0.000156623601417262,state_ext=neutral,-0.000156623601417262,0.007571546677916263,0,0000,0.0,0,0,0,8,2.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,7,False,False
55,FUT/ES,1h,state_ext=stretched_down + state_vol=high_vol,rolling,4,long,provisional,sample_starved_unsupported,20,True,8,False,0.005049568581897193,0.004819688512075918,state_ext=stretched_down,-0.00021899237324888524,0.006204778606452299,0,0000,0.0,0,8,0,8,2.0,provisional,rejected,rejected,rejected,provisional,provisional,provisional,provisional,131,6,False,False
