symbol,timeframe,slice_combination,side,overall_regime_status,bull_status,bear_status,neutral_status,best_regime
FUT/ZN,1h,state_session=afternoon + state_ext=neutral,short,unsupported,unsupported,unsupported,unsupported,
FUT/ZN,1h,state_session=afternoon + state_slope=uptrend,short,unsupported,unsupported,unsupported,unsupported,
FUT/ZN,1h,state_ext=neutral + state_slope=flat,short,unsupported,unsupported,unsupported,unsupported,
FUT/ZN,1h,state_ext=neutral + state_vol=mid_vol,short,unsupported,unsupported,unsupported,unsupported,
FUT/ZN,1h,state_ext=neutral + state_slope=uptrend,short,unsupported,unsupported,unsupported,unsupported,
FUT/ES,1h,state_ext=neutral + state_vol=low_vol,short,unsupported,unsupported,unsupported,unsupported,
FUT/ZN,1h,state_ext=neutral + state_slope=downtrend,long,unsupported,unsupported,unsupported,unsupported,
FUT/ES,1h,state_ext=stretched_up + state_slope=uptrend,long,unsupported,unsupported,unsupported,unsupported,
FUT/NQ,1h,state_session=morning + state_slope=flat,short,unsupported,unsupported,unsupported,unsupported,
FUT/GC,1h,state_ext=stretched_down + state_vol=mid_vol,long,unsupported,unsupported,unsupported,unsupported,
FUT/NQ,1h,state_session=morning + state_ext=stretched_up,long,unsupported,unsupported,unsupported,unsupported,
FUT/ES,1h,state_ext=stretched_up + state_vol=high_vol,long,unsupported,unsupported,unsupported,unsupported,
FUT/ES,1h,state_session=morning + state_slope=flat,long,unsupported,unsupported,unsupported,unsupported,
FUT/ES,1h,state_session=afternoon + state_slope=uptrend,long,unsupported,unsupported,unsupported,unsupported,
FUT/ES,1h,state_ext=neutral + state_vol=mid_vol,long,unsupported,unsupported,unsupported,unsupported,
FUT/ES,1h,state_session=afternoon + state_ext=neutral,long,unsupported,unsupported,unsupported,unsupported,
FUT/NQ,1h,state_session=afternoon + state_ext=neutral,long,unsupported,unsupported,unsupported,unsupported,
FUT/NQ,1h,state_ext=neutral + state_vol=low_vol,long,unsupported,unsupported,unsupported,unsupported,
FUT/GC,1h,state_ext=stretched_up + state_vol=mid_vol,short,unsupported,unsupported,unsupported,unsupported,
