symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_down,all,FUT/NQ,ok,5870,47,0.0028434035065862413,0.7021276595744681,2.5797883862409616,0.009886087484289874,True,-1.093412049732027e-05,0.0028543376270835615,state_ext=stretched_down,0.0016978070112306475,0.0011455964953555938
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_down,bull,FUT/NQ,ok,2024,0,,,,,False,-9.819202428263283e-05,,state_session=afternoon,6.0641962734416555e-06,
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_down,bear,FUT/NQ,ok,1215,37,0.002432673347844809,0.6756756756756757,2.4739640069510203,0.01336231581916869,True,0.0006241388277757912,0.001808534520069018,state_ext=stretched_down,0.0026054945717023073,-0.00017282122385749816
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_down,neutral,FUT/NQ,ok,2432,10,0.004363105093929543,0.8,1.3443500392137095,0.1788352214879656,False,-0.00028757273849347817,0.004650677832423021,state_session=afternoon,-5.657629733769915e-05,0.004419681391267242
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_down,regime_warmup,FUT/NQ,ok,199,0,,,,,False,0.0003799276085293036,,state_session=afternoon,0.00040241999320867296,
FUT/ZN,1h,state_session=lunch + state_slope=uptrend,all,FUT/ZN,ok,5771,166,-4.4657912371559274e-05,0.4939759036144578,-0.4282484666157768,0.6684702334913322,False,-0.00018565375839474756,0.0001409958460231883,state_session=lunch,-5.468612797307138e-05,1.0028215601512107e-05
FUT/ZN,1h,state_session=lunch + state_slope=uptrend,bull,FUT/ZN,ok,1385,68,2.3391321424258974e-05,0.5147058823529411,0.162127547189505,0.8712054136499314,False,-0.00011764493769694807,0.00014103625912120706,state_session=lunch,-1.0217889018209662e-05,3.360921044246864e-05
FUT/ZN,1h,state_session=lunch + state_slope=uptrend,bear,FUT/ZN,ok,1640,12,-0.0004856162128126819,0.3333333333333333,-2.212629892026864,0.026923172437974596,False,-0.00021431302686046925,-0.00027130318595221264,state_session=lunch,-0.0002575613545595264,-0.0002280548582531555
FUT/ZN,1h,state_session=lunch + state_slope=uptrend,neutral,FUT/ZN,ok,2547,86,-3.693521810204966e-05,0.5,-0.23000943392123457,0.818084439027799,False,-0.0001880713212942793,0.00015113610319222962,state_session=lunch,5.172159851664651e-05,-8.865681661869617e-05
FUT/ZN,1h,state_session=lunch + state_slope=uptrend,regime_warmup,FUT/ZN,ok,199,0,,,,,False,-0.00039185216883475514,,state_session=lunch,-5.24351001641016e-05,
