rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
29,DOGE/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,short,rejected,provisional_sample_starved,35,False,14,False,0.09670537875975227,0.0906919168972927,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.031599611263342556,2.6750380532902795e-07,2,1010,0.5,0,8,8,8,7.0,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,672,17,True,True
30,CRV/USD,1d,cross_ETH/USD_state_vol=high_vol + state_ext=neutral,rolling,4,short,provisional,provisional_sample_starved,9,False,6,False,0.0676980897180699,0.05607151900488614,state_ext=neutral,0.05491047168349593,0.0021488834043945637,0,0000,0.0,0,8,8,8,7.0,provisional,provisional,provisional,rejected,provisional,provisional,provisional,provisional,672,48,True,False
31,DOGE/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,provisional,provisional_sample_starved,11,False,7,False,0.11184619283875748,0.1058327309762979,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.04674042534234776,3.876831557114713e-06,0,0000,0.0,0,8,8,8,7.0,provisional,provisional,provisional,provisional,provisional,provisional,provisional,provisional,672,22,True,True
32,CRV/USD,1d,state_ext=stretched_up + state_vol=mid_vol,rolling,4,short,rejected,late_emerging_valid_supported,80,False,18,True,0.07912836963940247,0.06750179892621871,state_ext=stretched_up,0.04058724910110658,0.0353963364869716,0,0000,0.0,0,7,6,6,7.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,109,False,False
33,DOGE/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,rolling,4,short,rejected,rejected_unsupported,73,True,35,False,0.02938017358790429,0.02336671172544472,state_ext=stretched_down,0.019206562106298272,0.06912506503140303,1,0010,0.25,1,7,7,2,6.75,rejected,survived,rejected,rejected,rejected,rejected,rejected,rejected,672,137,False,False
34,DOGE/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,short,provisional,provisional_sample_starved,33,True,14,False,0.06948391333335178,0.06347045147089221,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.040284867854170556,0.0005008199096834254,0,0000,0.0,0,8,7,7,6.5,provisional,provisional,provisional,provisional,rejected,provisional,provisional,provisional,672,35,True,False
35,DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,rejected,rejected_unsupported,120,False,86,False,0.026756285000510673,0.020742823138051102,cross_BTC/USD_state_ext=neutral,0.012072034090216783,0.06971900552890187,1,0010,0.25,0,8,8,2,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,139,False,False
36,DOT/USD,1d,state_weekpart=weekend + state_ext=stretched_up,rolling,4,short,rejected,rejected_unsupported,87,False,16,False,0.034618685210811226,0.019104067073591295,state_ext=stretched_up,0.00039840602877834475,0.05813798002294135,1,1000,0.25,0,8,7,3,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,129,False,False
37,CRV/USD,1d,state_ext=neutral + state_vol=high_vol,rolling,4,short,rejected,provisional_sample_starved,11,False,4,False,0.11783796696475213,0.10621139625156836,state_vol=high_vol,0.07349580003314163,1.2638778912332782e-12,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,7,True,True
38,CRV/USD,1d,cross_BTC/USD_state_slope=downtrend + state_slope=uptrend,rolling,4,short,rejected,provisional_sample_starved,10,False,7,False,0.08737434050179203,0.07574776978860828,state_slope=uptrend,0.06730282031267318,0.0,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,1,True,True
39,DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=neutral,rolling,4,long,rejected,provisional_sample_starved,40,False,8,False,0.07935882074357979,0.09237228260603937,cross_ETH/USD_state_slope=flat + state_ext=neutral,0.06456798228414541,0.011295464150703483,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,74,False,False
40,DOGE/USD,1d,state_ext=neutral + state_slope=downtrend,rolling,4,short,rejected,provisional_sample_starved,12,False,14,False,0.07374574336798036,0.06773228150552078,state_slope=downtrend,0.06217345844580009,8.21919003390903e-06,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,24,True,True
41,DOT/USD,1d,cross_BTC/USD_state_ext=stretched_down + state_ext=stretched_up,rolling,4,short,rejected,provisional_sample_starved,12,False,7,False,0.08771060310966469,0.07219598497244477,state_ext=stretched_up,0.05349032392763181,9.610164008133637e-06,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,672,25,True,True
42,CRV/USD,1d,cross_BTC/USD_state_ext=stretched_down + state_ext=stretched_up,rolling,4,short,rejected,provisional_sample_starved,13,False,8,False,0.07330900210069455,0.06168243138751079,state_ext=stretched_up,0.03476788156239866,4.987129198497087e-08,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,13,True,True
43,LINK/USD,1d,cross_BTC/USD_state_vol=high_vol + state_ext=neutral,rolling,4,long,rejected,provisional_sample_starved,25,False,9,False,0.04694395374766934,0.05438604527622258,cross_BTC/USD_state_vol=high_vol,0.03311721981346259,0.030567461796682238,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,105,False,False
44,DOT/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,rolling,4,short,rejected,provisional_sample_starved,12,False,10,False,0.07280943400366567,0.05729481586644574,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend,0.02128564322961169,1.0993868038156052e-09,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,10,True,True
45,DOGE/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,rolling,4,short,rejected,provisional_sample_starved,16,False,14,False,0.05041819617920673,0.04440473431674716,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,0.020580192698347457,5.811191927662662e-08,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,15,True,True
46,CRV/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,rolling,4,short,rejected,provisional_sample_starved,9,False,10,False,0.048351315015111675,0.03672474430192792,cross_ETH/USD_state_slope=uptrend,0.01728425792014221,0.007263113065531179,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,69,False,False
47,DOT/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,rolling,4,short,rejected,provisional_sample_starved,28,False,14,False,0.05651359052619471,0.04099897238897478,cross_BTC/USD_state_vol=mid_vol,0.014900331789716975,0.00010192046154289258,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,30,True,False
48,DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,rolling,4,short,rejected,provisional_sample_starved,10,False,9,False,0.053019825656392926,0.04700636379393335,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend,0.013711458486137543,8.117317811251468e-06,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,23,True,True
49,DOT/USD,1d,state_ext=neutral + state_vol=low_vol,rolling,4,short,rejected,provisional_sample_starved,19,False,13,False,0.029732666091610772,0.014218047954390843,state_ext=neutral,0.012375225462868227,0.011699485662572062,0,0000,0.0,0,8,8,8,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,75,False,False
50,DOT/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up + state_ext=neutral,rolling,4,short,rejected,provisional_sample_starved,23,False,8,False,0.05589328395257338,0.04037866581535345,cross_ETH/USD_state_ext=stretched_up + state_ext=neutral,0.0008617058868470653,0.0001049655063969368,0,0000,0.0,0,8,8,8,6.0,rejected,provisional,provisional,rejected,provisional,rejected,rejected,rejected,672,31,True,False
51,DOGE/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,rejected,rejected_unsupported,69,False,46,False,0.021484842126945104,0.015471380264485534,cross_ETH/USD_state_ext=neutral,0.007364187847655388,0.23756592817218447,2,0110,0.5,0,7,7,0,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,236,False,False
52,CRV/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,rejected,rejected_unsupported,63,True,21,False,0.027304842291111683,0.015678271577927925,cross_ETH/USD_state_ext=neutral,0.010228233324576681,0.11787428060813676,1,0010,0.25,0,8,8,1,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,167,False,False
53,DOGE/USD,1d,state_volume=vol_surge + state_ext=neutral,rolling,4,short,rejected,rejected_unsupported,35,False,22,False,0.006284071547401066,0.0002706096849414948,state_volume=vol_surge,0.0018725602009865326,0.8587774947453757,1,0001,0.25,0,8,8,1,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,599,False,False
54,DOGE/USD,1d,cross_BTC/USD_state_ext=stretched_down + state_ext=stretched_up,rolling,4,short,rejected,provisional_sample_starved,40,False,2,False,0.09158200152090046,0.08556853965844088,state_ext=stretched_up,0.08491632031993143,0.0,0,0000,0.0,0,8,8,7,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,2,True,True
55,LINK/USD,1d,cross_BTC/USD_state_ext=stretched_down + state_ext=stretched_up,rolling,4,short,rejected,provisional_sample_starved,58,False,7,False,0.0639624896575464,0.06352039812899317,state_ext=stretched_up,0.05809775505769229,0.0014495638820286594,0,0000,0.0,0,8,8,7,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,46,True,False
56,LINK/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,rolling,4,short,rejected,provisional_sample_starved,19,False,6,False,0.061024616940100584,0.06058252541154735,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up,0.05305481472004242,0.04491669964307432,0,0000,0.0,0,8,8,7,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,118,False,False
57,DOT/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=neutral,rolling,4,short,rejected,provisional_sample_starved,33,False,13,False,0.06590439824662811,0.05038978010940818,cross_BTC/USD_state_slope=uptrend,0.02801961074960252,0.024442418888826367,0,0000,0.0,0,8,8,7,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,96,False,False
58,DOGE/USD,1d,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=downtrend + state_ext=neutral,rolling,4,short,rejected,provisional_sample_starved,14,False,8,False,0.030135056215872424,0.024121594353412854,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=downtrend,0.015138312999416481,0.013871252618784746,0,0000,0.0,0,8,7,8,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,80,False,False
59,DOT/USD,1d,state_volume=vol_surge + state_ext=neutral,rolling,4,short,rejected,provisional_sample_starved,25,False,8,False,0.04476917044777125,0.029254552310551317,state_volume=vol_surge,0.013909483554385947,0.0056446190525987205,0,0000,0.0,0,8,8,7,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,63,False,False
60,CRV/USD,1d,state_ext=stretched_down + state_slope=uptrend,rolling,4,short,rejected,provisional_sample_starved,16,False,11,False,0.032830259467514056,0.021203688754330298,state_slope=uptrend,0.0127587392783952,0.0028213031317014803,0,0000,0.0,0,8,8,7,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,54,True,False
61,CRV/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,rolling,4,short,rejected,provisional_sample_starved,16,False,12,False,0.04348288549416423,0.03185631478098047,cross_ETH/USD_state_slope=uptrend,0.012415828399194764,0.0025601666796974953,0,0000,0.0,0,8,7,8,5.75,rejected,rejected,rejected,provisional,rejected,rejected,rejected,rejected,672,51,True,False
62,DOGE/USD,1d,cross_ETH/USD_state_slope=downtrend + state_slope=flat,rolling,4,long,rejected,rejected_unsupported,104,False,36,False,0.006877556609527312,0.01989101847198689,cross_ETH/USD_state_slope=downtrend,0.020984215905423813,0.7960830985507108,1,0100,0.25,0,8,8,0,5.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,560,False,False
63,LINK/USD,1d,state_ext=stretched_up + state_vol=mid_vol,rolling,4,short,rejected,rejected_unsupported,132,False,66,False,0.019776242884700968,0.019334151356147734,state_vol=mid_vol,0.012739243422406519,0.1433529209938369,1,0010,0.25,0,8,8,0,5.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,185,False,False
64,DOGE/USD,1d,cross_BTC/USD_state_ext=stretched_up + state_ext=stretched_down,rolling,4,short,rejected,rejected_unsupported,68,False,31,False,0.020013441504533564,0.013999979642073994,state_ext=stretched_down,0.009839830022927548,0.24362909390001142,1,0010,0.25,0,7,7,1,5.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,243,False,False
65,LINK/USD,1d,cross_ETH/USD_state_vol=low_vol + state_ext=stretched_down,rolling,4,long,rejected,rejected_unsupported,265,False,55,False,0.005048106921742868,0.012490198450296107,state_ext=stretched_down,0.008867717159965868,0.7755307569278052,1,0010,0.25,0,8,8,0,5.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,548,False,False
