symbol,timeframe,slice_combination,side,bin_mode,candidate_key,status,strict_gate_pass,tradeable_gate_pass,live_decay_flag,pnl_decay_flag,valid_n,valid_mean_ret_costadj,valid_p_value_nw,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,scenario_survived_count,search_wide_bh_pass,search_wide_bonferroni_pass,valid_excess_vs_baseline,valid_excess_vs_best_parent,triage_bucket,optimal_horizon,leverage_gate_pass,leverage_gate_reason,auto_promotion_block_reason,leverage_1x_multiple,leverage_1x_expected_return,leverage_1x_expected_pnl_at_position_cap,leverage_1x_theoretical_return_on_equity,leverage_1x_overnight_compatible,leverage_1x_requires_same_day_flatten,leverage_1x_margin_cushion_fraction,leverage_1x_risk_status,leverage_2x_multiple,leverage_2x_expected_return,leverage_2x_expected_pnl_at_position_cap,leverage_2x_theoretical_return_on_equity,leverage_2x_overnight_compatible,leverage_2x_requires_same_day_flatten,leverage_2x_margin_cushion_fraction,leverage_2x_risk_status,leverage_4x_multiple,leverage_4x_expected_return,leverage_4x_expected_pnl_at_position_cap,leverage_4x_theoretical_return_on_equity,leverage_4x_overnight_compatible,leverage_4x_requires_same_day_flatten,leverage_4x_margin_cushion_fraction,leverage_4x_risk_status,leverage_overnight_max_multiple,leverage_auto_promotion_gate
SOFI,1d,state_ext=neutral + state_ret_5=ret_flat,long,rolling,SOFI|1d|state_ext=neutral + state_ret_5=ret_flat|rolling,research_only,False,False,False,False,30,0.0399482767765842,0.0109836411910397,4,1,0001,0,False,False,0.0343819246919183,0.0144973033441172,late_emerging_recent_only,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0399482767765842,99.87069194146049,0.0399482767765842,True,False,0.975,unknown_missing_atr_risk,2.0,0.0399482767765842,99.87069194146049,0.0798965535531684,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0399482767765842,99.87069194146049,0.1597931071063368,False,True,0.99375,fail_overnight_constraint,2.0,False
SOFI,1d,cross_TLT_state_slope=downtrend + state_slope=downtrend,long,rolling,SOFI|1d|cross_TLT_state_slope=downtrend + state_slope=downtrend|rolling,research_only,False,False,False,False,31,0.0658460761012717,0.0185250611142659,4,1,0010,0,False,False,0.0602797240166058,0.0490553707579103,late_emerging_valid_supported,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0658460761012717,164.61519025317926,0.0658460761012717,True,False,0.975,unknown_missing_atr_risk,2.0,0.0658460761012717,164.61519025317926,0.1316921522025434,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0658460761012717,164.61519025317926,0.2633843044050868,False,True,0.99375,fail_overnight_constraint,2.0,False
SOFI,1d,state_slope=downtrend + state_vol=high_vol,long,rolling,SOFI|1d|state_slope=downtrend + state_vol=high_vol|rolling,research_only,False,False,False,False,28,0.0620488119476919,0.0086341278433201,4,1,0010,0,False,False,0.056482459863026,0.0452581066043305,late_emerging_valid_supported,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0620488119476919,155.12202986922975,0.0620488119476919,True,False,0.975,unknown_missing_atr_risk,2.0,0.0620488119476919,155.12202986922975,0.1240976238953838,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0620488119476919,155.12202986922975,0.2481952477907676,False,True,0.99375,fail_overnight_constraint,2.0,False
SOFI,1d,state_ext=neutral + state_ret_1=ret_flat,long,rolling,SOFI|1d|state_ext=neutral + state_ret_1=ret_flat|rolling,research_only,False,False,False,False,21,0.0449547709855559,0.0026415670930775,4,1,0001,0,False,False,0.03938841890089,0.0195037975530888,late_emerging_recent_only,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0449547709855559,112.38692746388975,0.0449547709855559,True,False,0.975,unknown_missing_atr_risk,2.0,0.0449547709855559,112.38692746388975,0.0899095419711118,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0449547709855559,112.38692746388975,0.1798190839422236,False,True,0.99375,fail_overnight_constraint,2.0,False
SOFI,1d,cross_TLT_state_slope=downtrend + state_slope=flat,short,rolling,SOFI|1d|cross_TLT_state_slope=downtrend + state_slope=flat|rolling,research_only,False,False,False,False,37,0.0250712628392513,0.0082390852299576,4,1,0001,0,False,False,0.0310376149239172,0.0150582980095254,late_emerging_recent_only,3,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0250712628392513,62.67815709812825,0.0250712628392513,True,False,0.975,unknown_missing_atr_risk,2.0,0.0250712628392513,62.67815709812825,0.0501425256785026,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0250712628392513,62.67815709812825,0.1002850513570052,False,True,0.99375,fail_overnight_constraint,2.0,False
SOFI,1d,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=downtrend + state_ext=stretched_up,short,rolling,SOFI|1d|cross_USO_state_ext=stretched_up + cross_TLT_state_slope=downtrend + state_ext=stretched_up|rolling,research_only,False,False,False,False,21,0.0394705928682752,6.399938114132198e-05,4,0,0000,0,True,False,0.0454369449529411,0.0237474579772582,late_emerging_valid_supported,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0394705928682752,98.676482170688,0.0394705928682752,True,False,0.975,unknown_missing_atr_risk,2.0,0.0394705928682752,98.676482170688,0.0789411857365504,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0394705928682752,98.676482170688,0.1578823714731008,False,True,0.99375,fail_overnight_constraint,2.0,False
SOFI,1d,state_ext=neutral + state_vol=low_vol,long,rolling,SOFI|1d|state_ext=neutral + state_vol=low_vol|rolling,research_only,False,False,False,False,23,0.0412407677826127,0.0164460911039352,4,0,0000,0,False,False,0.0356744156979468,0.0157897943501456,late_emerging_valid_supported,3,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0412407677826127,103.10191945653176,0.0412407677826127,True,False,0.975,unknown_missing_atr_risk,2.0,0.0412407677826127,103.10191945653176,0.0824815355652254,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0412407677826127,103.10191945653176,0.1649630711304508,False,True,0.99375,fail_overnight_constraint,2.0,False
SOFI,1d,state_volume=vol_normal + state_ext=neutral,long,rolling,SOFI|1d|state_volume=vol_normal + state_ext=neutral|rolling,research_only,False,False,False,False,43,0.0271820747041234,0.0382040084323984,4,0,0000,0,False,False,0.0216157226194575,0.0017311012716564,late_emerging_valid_supported,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0271820747041234,67.9551867603085,0.0271820747041234,True,False,0.975,unknown_missing_atr_risk,2.0,0.0271820747041234,67.9551867603085,0.0543641494082468,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0271820747041234,67.9551867603085,0.1087282988164936,False,True,0.99375,fail_overnight_constraint,2.0,False
SOFI,1d,state_volume=vol_surge + state_ext=stretched_up + state_slope=flat,short,rolling,SOFI|1d|state_volume=vol_surge + state_ext=stretched_up + state_slope=flat|rolling,research_only,False,False,False,False,6,0.0726012399242944,4.859661384415404e-08,4,0,0000,0,True,True,0.0785675920089603,0.0424569547336033,provisional_sample_starved,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0726012399242944,181.50309981073602,0.0726012399242944,True,False,0.975,unknown_missing_atr_risk,2.0,0.0726012399242944,181.50309981073602,0.1452024798485888,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0726012399242944,181.50309981073602,0.2904049596971776,False,True,0.99375,fail_overnight_constraint,2.0,False
SOFI,1d,cross_USO_state_slope=uptrend + state_slope=flat,short,rolling,SOFI|1d|cross_USO_state_slope=uptrend + state_slope=flat|rolling,research_only,False,False,False,False,43,0.0278203229643626,0.0828298342004738,4,2,1001,0,False,False,0.0337866750490285,0.0178073581346366,rejected_unsupported,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0278203229643626,69.5508074109065,0.0278203229643626,True,False,0.975,unknown_missing_atr_risk,2.0,0.0278203229643626,69.5508074109065,0.0556406459287252,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0278203229643626,69.5508074109065,0.1112812918574504,False,True,0.99375,fail_overnight_constraint,2.0,False
SOFI,1d,cross_USO_state_vol=high_vol + state_ext=neutral,long,rolling,SOFI|1d|cross_USO_state_vol=high_vol + state_ext=neutral|rolling,research_only,False,False,False,False,12,0.0648954257469727,0.0019644629999762,4,0,0000,0,True,False,0.0593290736623067,0.0394444523145056,provisional_sample_starved,3,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0648954257469727,162.23856436743174,0.0648954257469727,True,False,0.975,unknown_missing_atr_risk,2.0,0.0648954257469727,162.23856436743174,0.1297908514939454,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0648954257469727,162.23856436743174,0.2595817029878908,False,True,0.99375,fail_overnight_constraint,2.0,False
