bar_ts_utc,close_adj,fwd_ret_5,state_ext,state_slope,state_vol,state_session,candidate_name,candidate_side,dir_fwd_ret_5,slice_combination
2021-12-17 05:00:00+00:00,93.68,0.06009820666097343,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.06009820666097343,state_ext=stretched_down + state_slope=downtrend
2021-12-20 05:00:00+00:00,90.96,0.08195910290237474,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.08195910290237474,state_ext=stretched_down + state_slope=downtrend
2021-12-21 05:00:00+00:00,95.26,0.028973336132689376,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.028973336132689376,state_ext=stretched_down + state_slope=downtrend
2021-12-22 05:00:00+00:00,95.73,0.004805181238900946,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.004805181238900946,state_ext=stretched_down + state_slope=downtrend
2021-12-23 05:00:00+00:00,95.48,0.004503560955173791,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.004503560955173791,state_ext=stretched_down + state_slope=downtrend
2022-04-29 04:00:00+00:00,131.83,0.07638625502541152,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.07638625502541152,state_ext=stretched_down + state_slope=downtrend
2022-05-02 04:00:00+00:00,132.0,-0.0365151515151515,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,-0.0365151515151515,state_ext=stretched_down + state_slope=downtrend
2022-05-09 04:00:00+00:00,127.18,0.07414687844000634,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.07414687844000634,state_ext=stretched_down + state_slope=downtrend
2022-05-10 04:00:00+00:00,128.14,0.0978617137505855,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.0978617137505855,state_ext=stretched_down + state_slope=downtrend
2022-05-11 04:00:00+00:00,128.53,0.05726289582198696,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.05726289582198696,state_ext=stretched_down + state_slope=downtrend
2022-05-12 04:00:00+00:00,128.19,0.06014509712146032,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.06014509712146032,state_ext=stretched_down + state_slope=downtrend
2022-06-21 04:00:00+00:00,134.05,-0.022901902275270558,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.022901902275270558,state_ext=stretched_down + state_slope=downtrend
2022-06-22 04:00:00+00:00,125.66,-0.013051090243514252,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.013051090243514252,state_ext=stretched_down + state_slope=downtrend
2022-06-23 04:00:00+00:00,120.42,-0.007972097658196398,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.007972097658196398,state_ext=stretched_down + state_slope=downtrend
2022-06-24 04:00:00+00:00,121.93,-0.008201427048306398,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.008201427048306398,state_ext=stretched_down + state_slope=downtrend
2022-06-27 04:00:00+00:00,127.56,-0.10410787080589523,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.10410787080589523,state_ext=stretched_down + state_slope=downtrend
2022-06-28 04:00:00+00:00,130.98,-0.1425408459306764,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.1425408459306764,state_ext=stretched_down + state_slope=downtrend
2022-06-29 04:00:00+00:00,124.02,-0.0424125141106273,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.0424125141106273,state_ext=stretched_down + state_slope=downtrend
2022-06-30 04:00:00+00:00,119.46,-0.008371002846141007,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.008371002846141007,state_ext=stretched_down + state_slope=downtrend
2022-07-01 04:00:00+00:00,120.93,-0.03266352435293152,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.03266352435293152,state_ext=stretched_down + state_slope=downtrend
2022-07-05 04:00:00+00:00,114.28,-0.0004375218760938049,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.0004375218760938049,state_ext=stretched_down + state_slope=downtrend
2022-07-06 04:00:00+00:00,112.31,0.025732347965452762,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.025732347965452762,state_ext=stretched_down + state_slope=downtrend
