order_id,status,action,timestamp_utc,symbol,side,submitted_at,qty,avg_entry_price,current_price,broker_status,filled_qty,filled_avg_price,filled_at,reconciled_at_utc,prior_order_id,stop_price,error,order_type,time_in_force
e3845bb3-416b-41a1-9ae5-b335d767727f,filled,exit,2026-07-23T13:46:24.985087+00:00,XBI,close,2026-07-23 13:46:24.952168+00:00,15.0,149.76,150.91,filled,15.0,151.018001,2026-07-23 13:46:27.620173+00:00,2026-07-23T22:45:55.905686+00:00,,,,,
,rejected,protective_stop_replace,2026-07-23T14:46:01.669962+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T15:46:19.297226+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T16:45:59.919167+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T17:46:12.889385+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T18:46:17.475788+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T19:45:56.149622+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T20:46:05.431760+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T21:46:01.730043+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T22:46:01.736870+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
