symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio
XLE,15m,state_session=lunch + state_slope=downtrend,3703,7.197375576094987e-05,long,7.197375576094987e-05,0.499054820415879,0.0032785213153214685,-0.0032567289163250774,0.01337966887245435
NEM,15m,state_session=morning + state_ext=neutral + state_slope=uptrend,299,7.184847219726842e-05,long,7.184847219726842e-05,0.5384615384615384,0.005599418546263005,-0.006288932459838544,0.008331774325048476
GLD,15m,state_session=lunch + state_ext=neutral + state_slope=flat,2005,7.181331103811024e-05,long,7.181331103811024e-05,0.4902743142144638,0.0012029712119012638,-0.001168258217861898,0.03496491291030456
GLD,15m,state_session=lunch + state_slope=flat,2005,7.181331103811024e-05,long,7.181331103811024e-05,0.4902743142144638,0.0012029712119012638,-0.001168258217861898,0.03496491291030456
MRK,15m,state_ext=neutral + state_vol=low_vol,2142,-7.172721345550895e-05,short,7.172721345550895e-05,0.484593837535014,0.005353633606511365,-0.00540224231008935,-0.007764159493678891
SNOW,15m,state_session=lunch + state_ext=stretched_down,270,-7.152667461372162e-05,short,7.152667461372162e-05,0.4962962962962963,0.006596296925924082,-0.007330373423689323,-0.007525423346328453
KBE,15m,state_ext=neutral + state_slope=uptrend,2009,-7.15213449326159e-05,short,7.15213449326159e-05,0.4818317570930811,0.0033621080788123303,-0.003279045857334966,-0.01179392076475533
LOW,15m,state_ext=neutral + state_slope=downtrend,1992,-7.149300791565068e-05,short,7.149300791565068e-05,0.48293172690763053,0.0037485894456157436,-0.004020138918268092,-0.009827568428671083
DIA,15m,state_session=morning + state_slope=uptrend,3276,-7.145521718848055e-05,short,7.145521718848055e-05,0.5173992673992674,0.0019312468928564031,-0.002078194449380843,-0.020000358831394397
AMZN,15m,state_ext=neutral + state_slope=downtrend,1870,-7.141508715975022e-05,short,7.141508715975022e-05,0.47807486631016044,0.004939853514866542,-0.00518158891099492,-0.006876385671393637
LIN,15m,state_session=afternoon + state_slope=uptrend,719,-7.136769110021072e-05,short,7.136769110021072e-05,0.47844228094575797,0.0039321843145856995,-0.004360215384828835,-0.011060610518753183
LIN,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,719,-7.136769110021072e-05,short,7.136769110021072e-05,0.47844228094575797,0.0039321843145856995,-0.004360215384828835,-0.011060610518753183
ADA/USD,15m,state_session=lunch + state_slope=downtrend,449,-7.13335843477043e-05,short,7.13335843477043e-05,0.49888641425389757,0.006703219586552066,-0.006674688364383299,-0.009925283593701047
IBB,15m,state_session=morning + state_ext=neutral,1791,-7.09338892429859e-05,short,7.09338892429859e-05,0.4812953657174763,0.0029749640383251777,-0.0030524277296291313,-0.015310102094480109
DIS,15m,state_session=afternoon + state_ext=neutral + state_slope=flat,1022,-7.084748728480742e-05,short,7.084748728480742e-05,0.46868884540117417,0.0046719225793592336,-0.004939756742891121,-0.008360059784161843
JNK,15m,state_session=afternoon + state_slope=uptrend,723,7.082203953649723e-05,long,7.082203953649723e-05,0.5573997233748271,0.0007439932735346088,-0.0006787947838361968,0.044023541169582917
JNK,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,723,7.082203953649723e-05,long,7.082203953649723e-05,0.5573997233748271,0.0007439932735346088,-0.0006787947838361968,0.044023541169582917
SCHW,15m,state_ext=stretched_down + state_vol=high_vol,185,7.082149163538994e-05,long,7.082149163538994e-05,0.5405405405405406,0.0069395472576681974,-0.006881817758761557,0.007539857722789195
LINK/USD,15m,state_ext=neutral + state_slope=uptrend,9980,7.079599350165908e-05,long,7.079599350165908e-05,0.48537074148296594,0.0069286862203203564,-0.006282415055266499,0.00820244944406638
EEM,15m,state_ext=neutral + state_vol=mid_vol,2150,7.0783147587133e-05,long,7.0783147587133e-05,0.5293023255813953,0.002665467262403185,-0.0027884718186481725,0.011127382088177033
XLE,15m,state_session=morning + state_slope=uptrend,3461,-7.074781940094691e-05,short,7.074781940094691e-05,0.5290378503322739,0.0039243755328762404,-0.004278964657367305,-0.011863249230177694
UPS,15m,state_session=lunch + state_slope=uptrend,790,-7.072652934010593e-05,short,7.072652934010593e-05,0.47848101265822784,0.003019599968764653,-0.0031483555943905115,-0.016144921263303576
V,15m,state_session=lunch + state_ext=neutral + state_slope=flat,498,-7.06438344111944e-05,short,7.06438344111944e-05,0.4819277108433735,0.0020211251817287487,-0.002230102735704377,-0.02574983483159097
