symbol,timeframe,slice_combination,window,diagnostic_status,window_start_utc,window_end_utc,window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_n,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_n,best_parent_mean_ret_costadj,excess_vs_best_parent,best_parent_p_value_nw
XOP,1d,state_ext=stretched_down + state_slope=downtrend,latest_6m,ok,2025-12-29 05:00:00+00:00,2026-06-29 04:00:00+00:00,125,32,0.009942673697576853,0.625,1.0182609414664054,0.30855396495867016,False,125,0.008375133475340456,0.001567540222236397,state_slope=downtrend,40,0.0072623469369806765,0.0026803267605961766,0.4380201155603132
XLE,1d,state_ext=stretched_down + state_slope=downtrend,all,ok,2021-07-02 00:00:00+00:00,2026-06-25 00:00:00+00:00,1250,227,0.01031559185011865,0.6563876651982379,2.6283652125767007,0.00857963487794322,True,1250,0.004032578606639048,0.0062830132434796016,state_ext=stretched_down,311,0.010239215570426263,7.637627969238683e-05,0.0036509008636027573
XLE,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2024,ok,2024-01-02 00:00:00+00:00,2024-12-31 00:00:00+00:00,252,64,0.010007518895867247,0.640625,1.602233165028993,0.10910405876275497,False,252,0.0014494376054537564,0.00855808129041349,state_ext=stretched_down,76,0.00801467600626412,0.001992842889603127,0.18330991076923286
XLE,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2025,ok,2025-01-02 00:00:00+00:00,2025-12-31 00:00:00+00:00,250,37,0.02080329568263711,0.8918918918918919,5.456774663547068,4.848610268837206e-08,True,250,0.0020731983943664024,0.018730097288270707,state_slope=downtrend,75,0.019108740939781363,0.0016945547428557466,6.629332749419348e-08
XLE,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2026_ytd,ok,2026-01-02 00:00:00+00:00,2026-06-25 00:00:00+00:00,120,20,0.000593426147810323,0.45,0.06525100862275025,0.9479741486202624,False,120,0.007163241400175453,-0.00656981525236513,state_ext=stretched_down,28,0.0041199147414188505,-0.0035264885936085273,0.6773161177506535
XLE,1d,state_ext=stretched_down + state_slope=downtrend,latest_12m,ok,2025-06-25 00:00:00+00:00,2026-06-25 00:00:00+00:00,252,34,0.0044211130757267885,0.6176470588235294,0.7331942035153801,0.4634399902095976,False,252,0.0053007817452129695,-0.000879668669486181,state_ext=stretched_down,49,0.006425443534997777,-0.0020043304592709888,0.272871878241171
XLE,1d,state_ext=stretched_down + state_slope=downtrend,latest_6m,ok,2025-12-26 00:00:00+00:00,2026-06-25 00:00:00+00:00,124,20,0.000593426147810323,0.45,0.06525100862275025,0.9479741486202624,False,124,0.007963255191270568,-0.007369829043460245,state_ext=stretched_down,28,0.0041199147414188505,-0.0035264885936085273,0.6773161177506535
SPG,1d,state_ext=neutral + state_vol=mid_vol,all,ok,2021-07-06 04:00:00+00:00,2026-06-25 04:00:00+00:00,1247,49,0.011939371089005623,0.6530612244897959,2.58283260216173,0.009799285667686064,True,1247,0.0027423588100070886,0.009197012278998534,state_vol=mid_vol,242,0.007783022076890996,0.004156349012114627,0.011103746763958311
SPG,1d,state_ext=neutral + state_vol=mid_vol,calendar_2024,ok,2024-01-02 05:00:00+00:00,2024-12-31 05:00:00+00:00,252,19,0.014440322247263876,0.6842105263157895,2.509977935313729,0.012073870558796385,True,252,0.004320274083955126,0.010120048163308751,state_vol=mid_vol,54,0.0074909879378786005,0.006949334309385276,0.01765255839568325
SPG,1d,state_ext=neutral + state_vol=mid_vol,calendar_2025,ok,2025-01-02 05:00:00+00:00,2025-12-31 05:00:00+00:00,250,10,-0.002114323466018407,0.4,-0.4360308197658732,0.662814368754201,False,250,0.001429998015411028,-0.003544321481429435,state_ext=neutral,101,0.001551368451020932,-0.003665691917039339,0.757948689468698
